 1.9200 ; 5.2887 ; -2.2929 
 1.9300 ; 5.2917 ; -2.3428 
 1.9400 ; 5.2947 ; -2.3927 
 1.9500 ; 5.2976 ; -2.4427 
 1.9600 ; 5.3004 ; -2.4928 
 1.9700 ; 5.3032 ; -2.5430 
 1.9800 ; 5.3060 ; -2.5933 
 1.9900 ; 5.3087 ; -2.6436 
 2.0000 ; 5.3113 ; -2.6940 
 2.0100 ; 5.3139 ; -2.7445 
 2.0200 ; 5.3164 ; -2.7951 
 2.0300 ; 5.3189 ; -2.8457 
 2.0400 ; 5.3214 ; -2.8964 
 2.0500 ; 5.3238 ; -2.9472 
 2.0600 ; 5.3262 ; -2.9980 
 2.0700 ; 5.3285 ; -3.0489 
 2.0800 ; 5.3308 ; -3.0999 
 2.0900 ; 5.3331 ; -3.1509 
 2.1000 ; 5.3353 ; -3.2020 
 2.1100 ; 5.3374 ; -3.2532 
 2.1200 ; 5.3395 ; -3.3044 
 2.1300 ; 5.3416 ; -3.3557 
 2.1400 ; 5.3437 ; -3.4070 
 2.1500 ; 5.3457 ; -3.4584 
 2.1600 ; 5.3477 ; -3.5098 
 2.1700 ; 5.3496 ; -3.5613 
 2.1800 ; 5.3515 ; -3.6129 
 2.1900 ; 5.3534 ; -3.6645 
 2.2000 ; 5.3552 ; -3.7162 
 2.2100 ; 5.3570 ; -3.7679 
 2.2200 ; 5.3588 ; -3.8196 
 2.2300 ; 5.3606 ; -3.8714 
 2.2400 ; 5.3623 ; -3.9233 
 2.2500 ; 5.3639 ; -3.9752 
 2.2600 ; 5.3656 ; -4.0271 
 2.2700 ; 5.3672 ; -4.0791 
 2.2800 ; 5.3688 ; -4.1312 
 2.2900 ; 5.3704 ; -4.1833 
 2.3000 ; 5.3719 ; -4.2354 
 2.3100 ; 5.3734 ; -4.2876 
 2.3200 ; 5.3749 ; -4.3398 
 2.3300 ; 5.3763 ; -4.3921 
 2.3400 ; 5.3778 ; -4.4444 
 2.3500 ; 5.3792 ; -4.4967 
 2.3600 ; 5.3805 ; -4.5491 
 2.3700 ; 5.3819 ; -4.6015 
 2.3800 ; 5.3832 ; -4.6539 
 2.3900 ; 5.3845 ; -4.7064 
 2.4000 ; 5.3858 ; -4.7589 
 2.4100 ; 5.3871 ; -4.8115 
 2.4200 ; 5.3883 ; -4.8641 
 2.4300 ; 5.3895 ; -4.9167 
 2.4400 ; 5.3907 ; -4.9694 
 2.4500 ; 5.3919 ; -5.0221 
 2.4600 ; 5.3930 ; -5.0748 
 2.4700 ; 5.3941 ; -5.1276 
 2.4800 ; 5.3952 ; -5.1804 
 2.4900 ; 5.3963 ; -5.2332 
 2.5000 ; 5.3974 ; -5.2860 
 2.5100 ; 5.3984 ; -5.3389 
 2.5200 ; 5.3995 ; -5.3918 
 2.5300 ; 5.4005 ; -5.4448 
 2.5400 ; 5.4015 ; -5.4977 
 2.5500 ; 5.4024 ; -5.5507 
 2.5600 ; 5.4034 ; -5.6038 
 2.5700 ; 5.4043 ; -5.6568 
 2.5800 ; 5.4053 ; -5.7099 
 2.5900 ; 5.4062 ; -5.7630 
 2.6000 ; 5.4070 ; -5.8161 
 2.6100 ; 5.4079 ; -5.8693 
 2.6200 ; 5.4088 ; -5.9224 
 2.6300 ; 5.4096 ; -5.9756 
 2.6400 ; 5.4104 ; -6.0289 
 2.6500 ; 5.4113 ; -6.0821 
 2.6600 ; 5.4121 ; -6.1354 
 2.6700 ; 5.4128 ; -6.1887 
 2.6800 ; 5.4136 ; -6.2420 
 2.6900 ; 5.4144 ; -6.2953 
 2.7000 ; 5.4151 ; -6.3487 
 2.7100 ; 5.4158 ; -6.4020 
 2.7200 ; 5.4165 ; -6.4554 
 2.7300 ; 5.4172 ; -6.5089 
 2.7400 ; 5.4179 ; -6.5623 
 2.7500 ; 5.4186 ; -6.6157 
 2.7600 ; 5.4193 ; -6.6692 
 2.7700 ; 5.4199 ; -6.7227 
 2.7800 ; 5.4206 ; -6.7762 
 2.7900 ; 5.4212 ; -6.8297 
 2.8000 ; 5.4218 ; -6.8833 
 2.8100 ; 5.4224 ; -6.9368 
 2.8200 ; 5.4230 ; -6.9904 
 2.8300 ; 5.4236 ; -7.0440 
 2.8400 ; 5.4242 ; -7.0976 
 2.8500 ; 5.4248 ; -7.1513 
 2.8600 ; 5.4253 ; -7.2049 
 2.8700 ; 5.4258 ; -7.2586 
 2.8800 ; 5.4264 ; -7.3122 
 2.8900 ; 5.4269 ; -7.3659 
 2.9000 ; 5.4274 ; -7.4196 
 2.9100 ; 5.4279 ; -7.4733 
 2.9200 ; 5.4284 ; -7.5271 
 2.9300 ; 5.4289 ; -7.5808 
 2.9400 ; 5.4294 ; -7.6346 
 2.9500 ; 5.4299 ; -7.6884 
 2.9600 ; 5.4303 ; -7.7421 
 2.9700 ; 5.4308 ; -7.7959 
 2.9800 ; 5.4312 ; -7.8498 
 2.9900 ; 5.4317 ; -7.9036 
 3.0000 ; 5.4321 ; -7.9574 
